region,district,Monthly,admissions
Awdal,Baki,2024 Jan,679
Awdal,Baki,2024 Feb,52
Awdal,Baki,2024 Mar,39
Awdal,Baki,2024 Apr,45
Awdal,Baki,2024 May,43
Awdal,Baki,2024 Jun,38
Awdal,Baki,2024 Jul,47
Awdal,Baki,2024 Aug,36
Awdal,Baki,2024 Sep,37
Awdal,Baki,2024 Oct,47
Awdal,Baki,2024 Nov,32
Awdal,Baki,2024 Dec,32
Awdal,Baki,2023 Jan,119
Awdal,Baki,2023 Feb,89
Awdal,Baki,2023 Mar,56
Awdal,Baki,2023 Apr,58
Awdal,Baki,2023 May,74
Awdal,Baki,2023 Jun,54
Awdal,Baki,2023 Jul,49
Awdal,Baki,2023 Aug,58
Awdal,Baki,2023 Sep,57
Awdal,Baki,2023 Oct,47
Awdal,Baki,2023 Nov,60
Awdal,Baki,2023 Dec,45
Awdal,Baki,2022 Jan,40
Awdal,Baki,2022 Feb,23
Awdal,Baki,2022 Mar,25
Awdal,Baki,2022 Apr,25
Awdal,Baki,2022 May,87
Awdal,Baki,2022 Jun,35
Awdal,Baki,2022 Jul,84
Awdal,Baki,2022 Aug,37
Awdal,Baki,2022 Sep,59
Awdal,Baki,2022 Oct,76
Awdal,Baki,2022 Nov,29
Awdal,Baki,2022 Dec,76
Awdal,Baki,2021 Jan,56
Awdal,Baki,2021 Feb,48
Awdal,Baki,2021 Mar,57
Awdal,Baki,2021 Apr,67
Awdal,Baki,2021 May,28
Awdal,Baki,2021 Jun,97
Awdal,Baki,2021 Jul,52
Awdal,Baki,2021 Aug,77
Awdal,Baki,2021 Sep,82
Awdal,Baki,2021 Oct,121
Awdal,Baki,2021 Nov,102
Awdal,Baki,2021 Dec,154
Awdal,Baki,2020 Jan,34
Awdal,Baki,2020 Feb,14
Awdal,Baki,2020 Mar,26
Awdal,Baki,2020 Apr,48
Awdal,Baki,2020 May,35
Awdal,Baki,2020 Jun,37
Awdal,Baki,2020 Jul,52
Awdal,Baki,2020 Aug,10
Awdal,Baki,2020 Sep,20
Awdal,Baki,2020 Oct,47
Awdal,Baki,2020 Nov,76
Awdal,Baki,2020 Dec,24
Awdal,Baki,2019 Jan,17
Awdal,Baki,2019 Feb,51
Awdal,Baki,2019 Mar,47
Awdal,Baki,2019 Apr,61
Awdal,Baki,2019 May,60
Awdal,Baki,2019 Jun,68
Awdal,Baki,2019 Jul,2
Awdal,Baki,2019 Aug,5
Awdal,Baki,2019 Sep,15
Awdal,Baki,2019 Oct,63
Awdal,Baki,2019 Nov,64
Awdal,Baki,2019 Dec,17
Awdal,Borama,2024 Jan,735
Awdal,Borama,2024 Feb,666
Awdal,Borama,2024 Mar,660
Awdal,Borama,2024 Apr,229
Awdal,Borama,2024 May,320
Awdal,Borama,2024 Jun,264
Awdal,Borama,2024 Jul,252
Awdal,Borama,2024 Aug,686
Awdal,Borama,2024 Sep,237
Awdal,Borama,2024 Oct,229
Awdal,Borama,2024 Nov,151
Awdal,Borama,2024 Dec,151
Awdal,Borama,2023 Jan,505
Awdal,Borama,2023 Feb,335
Awdal,Borama,2023 Mar,377
Awdal,Borama,2023 Apr,462
Awdal,Borama,2023 May,551
Awdal,Borama,2023 Jun,514
Awdal,Borama,2023 Jul,439
Awdal,Borama,2023 Aug,406
Awdal,Borama,2023 Sep,415
Awdal,Borama,2023 Oct,534
Awdal,Borama,2023 Nov,542
Awdal,Borama,2023 Dec,1128
Awdal,Borama,2022 Jan,191
Awdal,Borama,2022 Feb,272
Awdal,Borama,2022 Mar,177
Awdal,Borama,2022 Apr,247
Awdal,Borama,2022 May,350
Awdal,Borama,2022 Jun,478
Awdal,Borama,2022 Jul,342
Awdal,Borama,2022 Aug,373
Awdal,Borama,2022 Sep,428
Awdal,Borama,2022 Oct,429
