region,district,Quarterly,admissions
Awdal,Baki,2024 Q1,679
Awdal,Baki,2024 Q1,52
Awdal,Baki,2024 Q1,39
Awdal,Baki,2024 Q2,45
Awdal,Baki,2024 Q2,43
Awdal,Baki,2024 Q2,38
Awdal,Baki,2024 Q3,47
Awdal,Baki,2024 Q3,36
Awdal,Baki,2024 Q3,37
Awdal,Baki,2024 Q4,47
Awdal,Baki,2024 Q4,32
Awdal,Baki,2024 Q4,32
Awdal,Baki,2023 Q1,119
Awdal,Baki,2023 Q1,89
Awdal,Baki,2023 Q1,56
Awdal,Baki,2023 Q2,58
Awdal,Baki,2023 Q2,74
Awdal,Baki,2023 Q2,54
Awdal,Baki,2023 Q3,49
Awdal,Baki,2023 Q3,58
Awdal,Baki,2023 Q3,57
Awdal,Baki,2023 Q4,47
Awdal,Baki,2023 Q4,60
Awdal,Baki,2023 Q4,45
Awdal,Baki,2022 Q1,40
Awdal,Baki,2022 Q1,23
Awdal,Baki,2022 Q1,25
Awdal,Baki,2022 Q2,25
Awdal,Baki,2022 Q2,87
Awdal,Baki,2022 Q2,35
Awdal,Baki,2022 Q3,84
Awdal,Baki,2022 Q3,37
Awdal,Baki,2022 Q3,59
Awdal,Baki,2022 Q4,76
Awdal,Baki,2022 Q4,29
Awdal,Baki,2022 Q4,76
Awdal,Baki,2021 Q1,56
Awdal,Baki,2021 Q1,48
Awdal,Baki,2021 Q1,57
Awdal,Baki,2021 Q2,67
Awdal,Baki,2021 Q2,28
Awdal,Baki,2021 Q2,97
Awdal,Baki,2021 Q3,52
Awdal,Baki,2021 Q3,77
Awdal,Baki,2021 Q3,82
Awdal,Baki,2021 Q4,121
Awdal,Baki,2021 Q4,102
Awdal,Baki,2021 Q4,154
Awdal,Baki,2020 Q1,34
Awdal,Baki,2020 Q1,14
Awdal,Baki,2020 Q1,26
Awdal,Baki,2020 Q2,48
Awdal,Baki,2020 Q2,35
Awdal,Baki,2020 Q2,37
Awdal,Baki,2020 Q3,52
Awdal,Baki,2020 Q3,10
Awdal,Baki,2020 Q3,20
Awdal,Baki,2020 Q4,47
Awdal,Baki,2020 Q4,76
Awdal,Baki,2020 Q4,24
Awdal,Baki,2019 Q1,17
Awdal,Baki,2019 Q1,51
Awdal,Baki,2019 Q1,47
Awdal,Baki,2019 Q2,61
Awdal,Baki,2019 Q2,60
